A1	Codigouf	Codigomunicipio	Nome	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102	A103	A104	A105	A106	A107	A108	A109	A110	A111	A112	A113	A114	A115	A116	A117
2801702	28	1702	CRISTINAPOLIS	Sim	Sim	2015	Sim	1974	Não	-	-	Sim	Sim	2015	Sim	Sim	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Não sabe informar
2801900	28	1900	CUMBE	Sim	Sim	2001	Sim	1974	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Não	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2802007	28	2007	DIVINA PASTORA	Sim	Sim	2014	Sim	2014	Não	-	-	Sim	Sim	2014	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Não
2802106	28	2106	ESTANCIA	Sim	Sim	1997	Sim	2003	Sim	Sim	2015	Sim	Sim	2012	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
2802205	28	2205	FEIRA NOVA	Sim	Não	2001	Sim	2001	Não	-	-	Sim	Sim	2013	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	-	Não sabe informar
2802304	28	2304	FREI PAULO	Sim	Sim	2012	Sim	2001	Sim	Sim	2013	Sim	Sim	2015	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
2802403	28	2403	GARARU	Sim	Sim	2015	Sim	2001	Sim	Não	2005	Não	-	-	Sim	Não	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
2802502	28	2502	GENERAL MAYNARD	Não	-	-	Sim	2001	Não	-	-	Sim	Sim	2001	Não cobra nenhuma taxa	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	-	Não
2802601	28	2601	GRACHO CARDOSO	Não	-	-	Não	-	Não	-	-	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2802700	28	2700	ILHA DAS FLORES	Sim	Não	2010	Sim	2005	Não	-	-	Sim	Sim	2015	Sim	Sim	Não	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
