A1	Codigouf	Codigomunicipio	Nome	A118	A119	A120	A121	A122	A123	A124	A125	A126	A127	A128	A129	A130	A131	A132	A133	A134	A135	A136	A137	A138	A139
3117836	31	17836	CONEGO MARINHO	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	Sim
3117876	31	17876	CONFINS	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3117900	31	17900	CONGONHAL	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3118007	31	18007	CONGONHAS	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Não sabe informar	-	-	-	-	-	-
3118106	31	18106	CONGONHAS DO NORTE	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3118205	31	18205	CONQUISTA	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não
3118304	31	18304	CONSELHEIRO LAFAIETE	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Não	Não
3118403	31	18403	CONSELHEIRO PENA	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3118502	31	18502	CONSOLACAO	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim
3118601	31	18601	CONTAGEM	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3118700	31	18700	COQUEIRAL	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim
3118809	31	18809	CORACAO DE JESUS	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Não	Sim
3118908	31	18908	CORDISBURGO	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim
3119005	31	19005	CORDISLANDIA	Sim	Não	Não	Sim	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3119104	31	19104	CORINTO	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim
3119203	31	19203	COROACI	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim
3119302	31	19302	COROMANDEL	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3119401	31	19401	CORONEL FABRICIANO	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim
3119500	31	19500	CORONEL MURTA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim
3119609	31	19609	CORONEL PACHECO	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim
3119708	31	19708	CORONEL XAVIER CHAVES	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3119807	31	19807	CORREGO DANTA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3119906	31	19906	CORREGO DO BOM JESUS	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
3119955	31	19955	CORREGO FUNDO	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim
3120003	31	20003	CORREGO NOVO	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Não
3120102	31	20102	COUTO DE MAGALHAES DE MINAS	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3120151	31	20151	CRISOLITA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim
3120201	31	20201	CRISTAIS	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3120300	31	20300	CRISTALIA	Sim	Não	Não	Sim	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Sim	Não	Sim	Sim	Sim
3120409	31	20409	CRISTIANO OTONI	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim
3120508	31	20508	CRISTINA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim
3120607	31	20607	CRUCILANDIA	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3120706	31	20706	CRUZEIRO DA FORTALEZA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3120805	31	20805	CRUZILIA	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
3120839	31	20839	CUPARAQUE	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3120870	31	20870	CURRAL DE DENTRO	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3120904	31	20904	CURVELO	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3121001	31	21001	DATAS	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim
3121100	31	21100	DELFIM MOREIRA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Não
3121209	31	21209	DELFINOPOLIS	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
3121258	31	21258	DELTA	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3121308	31	21308	DESCOBERTO	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim
3121407	31	21407	DESTERRO DE ENTRE RIOS	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Não sabe informar	-	-	-	-	-	-
3121506	31	21506	DESTERRO DO MELO	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3121605	31	21605	DIAMANTINA	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
3121704	31	21704	DIOGO DE VASCONCELOS	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim
3121803	31	21803	DIONISIO	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim
3121902	31	21902	DIVINESIA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim
3122009	31	22009	DIVINO	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Sim	Sim	Não
3122108	31	22108	DIVINO DAS LARANJEIRAS	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim
